0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:29:07 +0200] "GET /assets/js/bootstrap-tab.js HTTP/1.1" 404 1003
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:29:07 +0200] "GET /assets/js/bootstrap-tooltip.js HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:29:07 +0200] "GET /assets/js/bootstrap-popover.js HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:29:07 +0200] "GET /assets/js/bootstrap-button.js HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:29:07 +0200] "GET /assets/js/bootstrap-collapse.js HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:29:07 +0200] "GET /assets/js/bootstrap-typeahead.js HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:29:07 +0200] "GET /assets/js/bootstrap-carousel.js HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:29:07 +0200] "GET /assets/js/jquery.js HTTP/1.1" 404 989
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:29:07 +0200] "GET /assets/js/bootstrap-transition.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:29:07 +0200] "GET /assets/js/bootstrap-alert.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:29:07 +0200] "GET /assets/js/bootstrap-modal.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:29:07 +0200] "GET /assets/js/bootstrap-dropdown.js HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:29:07 +0200] "GET /assets/js/bootstrap-scrollspy.js HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:29:07 +0200] "GET /assets/js/bootstrap-tab.js HTTP/1.1" 404 1003
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:29:07 +0200] "GET /assets/js/bootstrap-tooltip.js HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:29:07 +0200] "GET /assets/js/bootstrap-popover.js HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:29:07 +0200] "GET /assets/js/bootstrap-button.js HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:29:07 +0200] "GET /assets/js/bootstrap-collapse.js HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:29:07 +0200] "GET /assets/js/bootstrap-carousel.js HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:29:07 +0200] "GET /assets/js/bootstrap-typeahead.js HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:29:26 +0200] "GET /SmartHomeControlBoard/Home.jsp HTTP/1.1" 200 4825
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:29:26 +0200] "GET /assets/css/bootstrap-responsive.css HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:29:27 +0200] "GET /assets/js/jquery.js HTTP/1.1" 404 989
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:29:27 +0200] "GET /assets/js/bootstrap-transition.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:29:27 +0200] "GET /assets/js/bootstrap-alert.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:29:27 +0200] "GET /assets/js/bootstrap-modal.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:29:27 +0200] "GET /assets/js/bootstrap-dropdown.js HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:29:27 +0200] "GET /assets/js/bootstrap-scrollspy.js HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:29:27 +0200] "GET /assets/js/bootstrap-tab.js HTTP/1.1" 404 1003
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:29:27 +0200] "GET /assets/js/bootstrap-tooltip.js HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:29:27 +0200] "GET /assets/js/bootstrap-popover.js HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:29:27 +0200] "GET /assets/js/bootstrap-button.js HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:29:27 +0200] "GET /assets/js/bootstrap-collapse.js HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:29:27 +0200] "GET /assets/js/bootstrap-carousel.js HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:29:27 +0200] "GET /assets/js/bootstrap-typeahead.js HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:30:30 +0200] "GET /SmartHomeControlBoard/Home.jsp HTTP/1.1" 200 2797
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:30:30 +0200] "GET /SmartHomeControlBoard/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:30:30 +0200] "GET /SmartHomeControlBoard/js/jquery.js HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:30:30 +0200] "GET /SmartHomeControlBoard/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:46:08 +0200] "GET /SmartHomeControlBoard/Home.jsp HTTP/1.1" 200 3301
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:46:08 +0200] "GET /SmartHomeControlBoard/js/jquery.js HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:46:08 +0200] "GET /SmartHomeControlBoard/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:46:08 +0200] "GET /SmartHomeControlBoard/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:46:08 +0200] "GET /SmartHomeControlBoard/js/jquery.js HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:46:36 +0200] "GET /SmartHomeControlBoard/Home.jsp HTTP/1.1" 200 2753
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:46:36 +0200] "GET /SmartHomeControlBoard/js/jquery.js HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:46:36 +0200] "GET /SmartHomeControlBoard/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:46:36 +0200] "GET /SmartHomeControlBoard/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:50:53 +0200] "GET /SmartHomeControlBoard/Home.jsp HTTP/1.1" 200 5650
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:50:53 +0200] "GET /SmartHomeControlBoard/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:50:53 +0200] "GET /SmartHomeControlBoard/js/jquery.js HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:50:53 +0200] "GET /SmartHomeControlBoard/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:50:53 +0200] "GET /SmartHomeControlBoard/js/jquery.js HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:55:07 +0200] "GET /SmartHomeControlBoard/js/jquery.js HTTP/1.1" 404 1019
